id,season,episode,key,partners,mentions
143,6,22,Monica & Chandler,Monica & Chandler,5
144,6,23,Ross & Rachel,Ross & Rachel,3
144,6,23,Rachel & Joey,Rachel & Joey,6
144,6,23,Rachel,Rachel & Paul,6
144,6,23,Monica & Chandler,Monica & Chandler,4
145,6,24,Ross & Rachel,Ross & Rachel,1
145,6,24,Ross,Ross & Elizabeth,2
145,6,24,Rachel & Joey,Rachel & Joey,6
145,6,24,Monica & Chandler,Monica & Chandler,13
145,6,24,Monica,Monica & Richard,1
146,6,25,Rachel & Joey,Rachel & Joey,1
146,6,25,Monica & Chandler,Monica & Chandler,7
146,6,25,Monica,Monica & Richard,2
147,7,1,Ross & Rachel,Ross & Rachel,7
147,7,1,Rachel & Joey,Rachel & Joey,3
147,7,1,Monica & Chandler,Monica & Chandler,9
148,7,2,Ross & Rachel,Ross & Rachel,1
148,7,2,Rachel & Joey,Rachel & Joey,4
148,7,2,Monica & Chandler,Monica & Chandler,8
149,7,3,Ross & Rachel,Ross & Rachel,2
149,7,3,Rachel & Joey,Rachel & Joey,4
149,7,3,Rachel,Rachel & Tag,1
149,7,3,Monica & Chandler,Monica & Chandler,8
150,7,4,Rachel & Joey,Rachel & Joey,3
150,7,4,Rachel,Rachel & Tag,3
150,7,4,Monica & Chandler,Monica & Chandler,5
151,7,5,Ross & Rachel,Ross & Rachel,1
151,7,5,Rachel & Joey,Rachel & Joey,2
151,7,5,Rachel,Rachel & Tag,3
151,7,5,Monica & Chandler,Monica & Chandler,7
152,7,6,Ross & Rachel,Ross & Rachel,4
152,7,6,Rachel & Joey,Rachel & Joey,5
152,7,6,Monica & Chandler,Monica & Chandler,9
153,7,7,Ross & Rachel,Ross & Rachel,1
153,7,7,Rachel & Joey,Rachel & Joey,6
153,7,7,Monica & Chandler,Monica & Chandler,4
153,7,7,Chandler,Chandler & Janice,2
154,7,8,Ross & Rachel,Ross & Rachel,1
154,7,8,Rachel & Joey,Rachel & Joey,5
154,7,8,Rachel,Rachel & Tag,2
154,7,8,Monica & Chandler,Monica & Chandler,8
155,7,9,Rachel & Joey,Rachel & Joey,1
155,7,9,Rachel,Rachel & Tag,3
155,7,9,Monica & Chandler,Monica & Chandler,7
156,7,10,Ross & Rachel,Ross & Rachel,1
156,7,10,Rachel & Joey,Rachel & Joey,6
156,7,10,Monica & Chandler,Monica & Chandler,8
157,7,11,Ross & Rachel,Ross & Rachel,1
157,7,11,Rachel & Joey,Rachel & Joey,6
157,7,11,Monica & Chandler,Monica & Chandler,4
157,7,11,Phoebe,Phoebe & David,2
158,7,12,Rachel & Joey,Rachel & Joey,1
158,7,12,Rachel,Rachel & Tag,4
158,7,12,Monica & Chandler,Monica & Chandler,6
159,7,13,Rachel & Joey,Rachel & Joey,11
159,7,13,Monica & Chandler,Monica & Chandler,2
160,7,14,Ross & Rachel,Ross & Rachel,2
160,7,14,Rachel & Joey,Rachel & Joey,8
160,7,14,Rachel,Rachel & Tag,2
160,7,14,Monica & Chandler,Monica & Chandler,8
161,7,15,Ross & Rachel,Ross & Rachel,4
161,7,15,Rachel & Joey,Rachel & Joey,2
161,7,15,Monica & Chandler,Monica & Chandler,7
162,7,16,Ross & Rachel,Ross & Rachel,2
162,7,16,Rachel & Joey,Rachel & Joey,4
162,7,16,Monica & Chandler,Monica & Chandler,8
163,7,17,Monica & Chandler,Monica & Chandler,5
164,7,18,Ross & Rachel,Ross & Rachel,2
164,7,18,Rachel & Joey,Rachel & Joey,7
164,7,18,Monica & Chandler,Monica & Chandler,3
165,7,19,Rachel & Joey,Rachel & Joey,2
165,7,19,Monica & Chandler,Monica & Chandler,5
166,7,20,Ross & Rachel,Ross & Rachel,2
166,7,20,Rachel & Joey,Rachel & Joey,2
166,7,20,Monica & Chandler,Monica & Chandler,7
167,7,21,Ross & Rachel,Ross & Rachel,3
167,7,21,Rachel & Joey,Rachel & Joey,5
167,7,21,Monica & Chandler,Monica & Chandler,26
168,7,22,Ross & Rachel,Ross & Rachel,3
168,7,22,Rachel & Joey,Rachel & Joey,2
168,7,22,Monica & Chandler,Monica & Chandler,6
169,7,23,Ross & Rachel,Ross & Rachel,2
169,7,23,Rachel & Joey,Rachel & Joey,1
169,7,23,Monica & Chandler,Monica & Chandler,9
170,7,24,Ross & Rachel,Ross & Rachel,4
170,7,24,Rachel & Joey,Rachel & Joey,1
170,7,24,Monica & Chandler,Monica & Chandler,8
171,8,1,Ross,Ross & Mona,2
171,8,1,Monica & Chandler,Monica & Chandler,5
172,8,2,Monica & Chandler,Monica & Chandler,4
173,8,3,Ross & Rachel,Ross & Rachel,5
173,8,3,Rachel & Joey,Rachel & Joey,3
173,8,3,Monica & Chandler,Monica & Chandler,10
174,8,4,Ross & Rachel,Ross & Rachel,7
174,8,4,Rachel & Joey,Rachel & Joey,6
174,8,4,Monica & Chandler,Monica & Chandler,9
175,8,5,Ross & Rachel,Ross & Rachel,5
