country,iso_a3,country_name,continent,region,region_un,year,pop,gdp_pcap,life_exp,income_daily,co2_pcap,fertility
Burundi,BDI,Burundi,Africa,Sub-Saharan Africa,Africa,2022,13300000,708,63.5,1.97,0.051000000000000004,4.98
Cambodia,KHM,Cambodia,Asia,East Asia & Pacific,Asia,2022,17200000,4530,69.1,5.92,2.55,2.62
Cameroon,CMR,Cameroon,Africa,Sub-Saharan Africa,Africa,2022,27600000,3730,62.7,6.08,0.40800000000000003,4.4
Canada,CAN,Canada,Americas,North America,Americas,2022,38800000,49200,82.7,65.4,13.2,1.37
Central African Republic,CAF,Central African Republic,Africa,Sub-Saharan Africa,Africa,2022,5100000,823,51.8,2.19,0.07100000000000001,6.02
Chad,TCD,Chad,Africa,Sub-Saharan Africa,Africa,2022,18500000,1420,60.1,3.4499999999999997,0.07200000000000001,6.22
Chile,CHL,Chile,Americas,Latin America & Caribbean,Americas,2022,19600000,25800,79.3,28.7,4.54,1.26
China,CHN,China,Asia,East Asia & Pacific,Asia,2022,1430000000,18200,78.2,15.2,7.38,1.03
Colombia,COL,Colombia,Americas,Latin America & Caribbean,Americas,2022,51700000,15600,77,15.1,2.3899999999999997,1.6600000000000001
Comoros,COM,Comoros,Africa,Sub-Saharan Africa,Africa,2022,834000,3250,68.3,6.55,0.28700000000000003,3.94
"Congo, Dem. Rep.",COD,"Congo, Dem. Rep.",Africa,Sub-Saharan Africa,Africa,2022,102000000,1130,64.5,2.55,0.026000000000000002,6.109999999999999
"Congo, Rep.",COG,"Congo, Rep.",Africa,Sub-Saharan Africa,Africa,2022,6040000,3210,65.8,2.9899999999999998,0.6739999999999999,4.22
Costa Rica,CRI,Costa Rica,Americas,Latin America & Caribbean,Americas,2022,5080000,22000,78,24.5,2.38,1.34
Cote d'Ivoire,CIV,Cote d'Ivoire,Africa,Sub-Saharan Africa,Africa,2022,30400000,5510,63.8,6.34,0.596,4.35
Croatia,HRV,Croatia,Europe,Europe & Central Asia,Europe,2022,3909999.9999999995,34200,79.2,38.3,5.94,1.53
Cuba,CUB,Cuba,Americas,Latin America & Caribbean,Americas,2022,11100000,8760,79.2,11.1,2.55,1.41
Czech Republic,CZE,Czech Republic,Europe,Europe & Central Asia,Europe,2022,10700000,41100,78.3,43.2,9.84,1.62
Denmark,DNK,Denmark,Europe,Europe & Central Asia,Europe,2022,5900000,59100,81.6,69.4,7.68,1.56
Djibouti,DJI,Djibouti,Africa,Middle East & North Africa,Africa,2022,1140000.0000000002,5030,66.6,6.1,0.734,2.65
Dominican Republic,DOM,Dominican Republic,Americas,Latin America & Caribbean,Americas,2022,11200000,19300,73.8,14.6,3.11,2.27
Ecuador,ECU,Ecuador,Americas,Latin America & Caribbean,Americas,2022,17800000,11200,77,15.2,2.7,1.86
Egypt,EGY,Egypt,Africa,Middle East & North Africa,Africa,2022,113000000,12800,69.8,7.33,2.4,2.75
El Salvador,SLV,El Salvador,Americas,Latin America & Caribbean,Americas,2022,6280000,9420,74.6,13.1,1.47,1.79
Equatorial Guinea,GNQ,Equatorial Guinea,Africa,Sub-Saharan Africa,Africa,2022,1800000,14800,65.5,14.9,4.75,4.17
Eritrea,ERI,Eritrea,Africa,Sub-Saharan Africa,Africa,2022,3409999.9999999995,1950,63.1,3.2800000000000002,0.234,3.79
Ethiopia,ETH,Ethiopia,Africa,Sub-Saharan Africa,Africa,2022,125000000,2380,68.6,5.09,0.188,4.08
Finland,FIN,Finland,Europe,Europe & Central Asia,Europe,2022,5570000,49200,82.3,61.6,8.76,1.32
France,FRA,France,Europe,Europe & Central Asia,Europe,2022,66300000,46000,83.4,62.5,6.07,1.76
Gabon,GAB,Gabon,Africa,Sub-Saharan Africa,Africa,2022,2429999.9999999995,13900,66.9,11.9,2.7600000000000002,3.71
Gambia,GMB,Gambia,Africa,Sub-Saharan Africa,Africa,2022,2640000,2130,65.8,5.29,0.29300000000000004,4.08
Germany,DEU,Germany,Europe,Europe & Central Asia,Europe,2022,84100000,53800,80.6,65.5,9.3,1.46
Ghana,GHA,Ghana,Africa,Sub-Saharan Africa,Africa,2022,33100000,5530,65.5,6.01,0.773,3.4299999999999997
Greece,GRC,Greece,Europe,Europe & Central Asia,Europe,2022,10400000,31600,80.3,33.5,5.2700000000000005,1.31
Guatemala,GTM,Guatemala,Americas,Latin America & Caribbean,Americas,2022,17800000,9160,68.2,10.8,1.34,2.34
Guinea,GIN,Guinea,Africa,Sub-Saharan Africa,Africa,2022,14100000,2700,60.5,4.8,0.47200000000000003,4.3
Guinea-Bissau,GNB,Guinea-Bissau,Africa,Sub-Saharan Africa,Africa,2022,2110000,1870,59.9,4.21,0.198,3.9099999999999997
Haiti,HTI,Haiti,Americas,Latin America & Caribbean,Americas,2022,11500000,2800,63.3,3.57,0.272,2.7
Honduras,HND,Honduras,Americas,Latin America & Caribbean,Americas,2022,10500000,5720,69.9,10.3,0.8760000000000001,2.52
"Hong Kong, China",HKG,Hong Kong,Asia,East Asia & Pacific,Asia,2022,7470000.000000001,58400,NA,60.9,10.2,0.71
Hungary,HUN,Hungary,Europe,Europe & Central Asia,Europe,2022,9680000,35400,75.1,33.8,6.41,1.55
Iceland,ISL,Iceland,Europe,Europe & Central Asia,Europe,2022,380000,56300,84.5,62.3,9.99,1.59
India,IND,India,Asia,South Asia,Asia,2022,1430000000,7100,67.6,5.21,1.87,1.99
Indonesia,IDN,Indonesia,Asia,East Asia & Pacific,Asia,2022,279000000,12400,69.1,7.81,2.36,2.15
Iran,IRN,Iran,Asia,Middle East & North Africa,Asia,2022,89500000,15500,76.2,15.7,7.67,1.7
Iraq,IRQ,Iraq,Asia,Middle East & North Africa,Asia,2022,44100000,9250,73,11.2,5.76,3.29
Ireland,IRL,Ireland,Europe,Europe & Central Asia,Europe,2022,5109999.999999999,110000,82.5,72.3,8.59,1.59
Israel,ISR,Israel,Asia,Middle East & North Africa,Asia,2022,9100000,44400,82.8,45,8.6,2.94
Italy,ITA,Italy,Europe,Europe & Central Asia,Europe,2022,59600000,43900,83.6,55.7,6.92,1.24
Jamaica,JAM,Jamaica,Americas,Latin America & Caribbean,Americas,2022,2840000,10100,75,15.1,2.4299999999999997,1.37
Japan,JPN,Japan,Asia,East Asia & Pacific,Asia,2022,125000000,41600,85.2,52.4,9.99,1.26
Jordan,JOR,Jordan,Asia,Middle East & North Africa,Asia,2022,11300000,9310,76.3,13.3,2.9,2.68
Kenya,KEN,Kenya,Africa,Sub-Saharan Africa,Africa,2022,54300000,4880,65.6,3.69,0.562,3.2600000000000002
Kuwait,KWT,Kuwait,Asia,Middle East & North Africa,Asia,2022,4590000,48200,82.1,50.1,24,1.55
Lebanon,LBN,Lebanon,Asia,Middle East & North Africa,Asia,2022,5740000,13100,72,21.1,3.92,2.2600000000000002
Lesotho,LSO,Lesotho,Africa,Sub-Saharan Africa,Africa,2022,2290000,2300,50.7,4.119999999999999,1.3800000000000001,2.72
Liberia,LBR,Liberia,Africa,Sub-Saharan Africa,Africa,2022,5370000,1460,66.1,3.72,0.354,4.02
Libya,LBY,Libya,Africa,Middle East & North Africa,Africa,2022,7220000,20300,75.6,19.6,8.84,2.4
Madagascar,MDG,Madagascar,Africa,Sub-Saharan Africa,Africa,2022,30400000,1500,64.8,1.6,0.20900000000000002,4.04
Malawi,MWI,Malawi,Africa,Sub-Saharan Africa,Africa,2022,20600000,1470,63.5,2,0.139,3.72
Malaysia,MYS,Malaysia,Asia,East Asia & Pacific,Asia,2022,34700000,28300,75.5,34.6,7.5,1.55
Mali,MLI,Mali,Africa,Sub-Saharan Africa,Africa,2022,23100000,2130,61.6,4.81,0.20400000000000001,5.6899999999999995
Mauritania,MRT,Mauritania,Africa,Sub-Saharan Africa,Africa,2022,4880000,5500,69.7,6.83,0.6609999999999999,4.7700000000000005
Mauritius,MUS,Mauritius,Africa,Sub-Saharan Africa,Africa,2022,1280000,22800,74.3,17,4.88,1.27
Mexico,MEX,Mexico,Americas,Latin America & Caribbean,Americas,2022,129000000,19700,76.3,14.9,3.64,1.94
